author_channel_id,author_display_name,network_community,behavior_cluster,persona
UC_QXyXUE6Lyd7LXEfqwy81g,@BoWohlfeil,31,3,Casual Viewer
UC8rXHD7brU9D-ShdZylXdfQ,@ChandanKumarSWF,33,3,Casual Viewer
UCrAeRzGDQAdjeklPGBO9S7w,@ERICDEAN-b2d,33,3,Casual Viewer
UCEr4pzsEM2IhM6DAQ_Bl6yQ,@LuckmanAbdi,33,3,Casual Viewer
UCQ841uGqLalSsDs200ABMhA,@kadenlindskog6355,33,3,Casual Viewer
UCOnHCabVKOR4N2IeHjpRmsQ,@nadim_haldarwa1738,33,3,Casual Viewer
UCCzBNzQDGZyCTpuAe9cWbJQ,@Avengerslife001,33,3,Casual Viewer
UCuoB9vOdt0b4CliceztF1WA,@MisterNiceguy-c9b7l,36,3,Casual Viewer
UCEBCo_keoP7EX5VG-h_Kzag,@gordonholding5621,36,3,Casual Viewer
UC7WA09Rbihn20YiDJPPmrgQ,@MoneyFossil,36,0,Casual Viewer
UC08_eDlHYPQ0IUOGfm9JZqQ,@annissakapor,36,3,Casual Viewer
UCEDfRXM-so_rNOUi54zOivg,@vasg1269,36,3,Casual Viewer
UCCzdGYBO1ARQ9svElVq_Nxw,@fredric27,37,3,Casual Viewer
UChZ64FTaDWYfrAsEAs_eUKQ,@UndergroundLookingUp,37,3,Casual Viewer
UCjTLAeHYgXClI7OyHznv7sg,@RevolutionaryHipHop1987,37,0,Casual Viewer
UCtPnBIuNuqYL1jieC8kjjIw,@nevinram6571,37,3,Casual Viewer
UCeAC8VBY8hZavsVUAgZJe9Q,@VintageEconomy0,37,3,Casual Viewer
UCU9v6VjwHMb4NEpDws2vcbg,@Polimorfismo2085,40,3,Casual Viewer
UC51TG1nV67Mx-1NPTlZXZIQ,@yoshitimz7808,40,3,Casual Viewer
UCsPJdled13syLpCG3DHeh6Q,@Sastifyingfacts,37,2,Casual Viewer
UCLEFuF9OvjjMC0Yn90A2Suw,@justing1810,40,3,Casual Viewer
UCU6hI2VDrxEwYb8rDmkfGyA,@Suhani_J,40,3,Casual Viewer
UC01vKuNVl7Hb0SqBG7qyWJA,@MelbourneChazz,42,3,Casual Viewer
UCcw9RkQ5oEw7TlI_E9MHSaA,@bruno88cornelio,42,0,Casual Viewer
UCXmAJXm3q8smPyRitTYHb3w,@JourneyWithSwayam,42,3,Casual Viewer
UC1AJ4oXiHiq5oJRR1S-KWpA,@isaiahheyward4equality,42,3,Casual Viewer
UCM8kV7eahMmZXofxTUywg1Q,@theunseenvideosforyou,45,3,Casual Viewer
UCmDc0UwLJJYDmIm0j1Tc1VQ,@shubhamsatyaprakash54,45,3,Casual Viewer
UC1ZpAFHikJrvr9RoXzaZYyQ,@goforbg,45,3,Casual Viewer
UCk80MrdSQfquFNQuhAdv49A,@HashimAli-k2h,45,3,Casual Viewer
UCggZO0GSQ3g4UG1zzQH3rSQ,@JorgeHollander,45,3,Casual Viewer
UC1KtKvyQsRXvFr3SpCctyKg,@kritikakulshrestha0001,46,3,Casual Viewer
UCU2_2Z0cSPXSUody4G0Axrw,@codywinkle3621,46,0,Casual Viewer
UCmKsp3Y9pJ0z2aCqGEpemww,@EpikNZ,45,0,Casual Viewer
UC02en-rXpK741PVX0VS_KWg,@Shut_Up_MyDevil,46,3,Casual Viewer
UClQQeUk4q2ihiYnlXTj_ayQ,@fickDaDim,46,3,Casual Viewer
UCb2VLDch1uQ89QrbhbLNKOg,@rahulpawar9036,46,3,Casual Viewer
UCaYE2P0ecWxEqcrPF4pAERg,@moytorres2136,46,3,Casual Viewer
UCyqHcYj3_DOre-bo4r6kCFg,@shivamcodm,48,3,Casual Viewer
UCqYfKQix-KGDeMaK5lCpn7w,@alexiadamasceno1255,48,3,Casual Viewer
UCet8AKwhXZ83WpatGOA6q6g,@heefrancis,48,3,Casual Viewer
UCV-A5Nv97Oy7jkaen4Dzzhw,@킹동구,48,3,Casual Viewer
UC27S_-GPqRPBlT5JpHIRh4Q,@elmosto-o4f,48,0,Casual Viewer
UCn2eiSeqUpqU3yEXAHjAUoQ,@عبوداحمد-ب2م,0,0,Casual Viewer
UCKnG-Iyw5VVV5xjWDQe9FxA,@راكانمجرشي-ذ5ب,0,0,Casual Viewer
UCu5lZ7fHDcKkIWH-3C3Wgog,@ZiD-q1q,0,0,Casual Viewer
UCyu8kT-gHV3KSqfJ3IwOvGw,@fathymohqmed,0,0,Casual Viewer
UCKuCpHpEt1O_Nw-Z3-vIl-Q,@UNKNOWN29572,0,3,Casual Viewer
UC1OxxYbsUFIJ8PXIEBRAAQA,@Egypt-from-the-depths,3,0,Casual Viewer
UC6IuEKp3cGNzibc6M82BOzQ,@MSTf3r,3,0,Casual Viewer
UCurY_ZQ9jUnEA-laIhUissA,@hazemmnam,3,0,Casual Viewer
UCO3SCN3pJvbzj27BzOz_nTA,@musamo6064,3,0,Casual Viewer
UC5OnPVdTJMiCfUWgJJfAqwg,@Goodk.i.d,3,3,Casual Viewer
UCaqvZc7fuvwNfKScDAp_hyw,@HICHAAM-LION,3,0,Casual Viewer
UCIyyG5BGsAA6MOZXetgZ5dg,@rajankhehra01,5,3,Casual Viewer
UCYN_GUhSz2a-d5C5F7dhEgQ,@game_is_onnn,5,3,Casual Viewer
UC6ZyMCO8tLd_qZg4S-RxUXg,@asamidres,5,0,Casual Viewer
UCNeLDDaZRuSXLSLqDYp9UsA,@alnaghmoshy,5,0,Casual Viewer
UCTNavUNJgtCtzjTLrBC0BDA,@medo36877,5,0,Casual Viewer
UCh0tWH0jARepoEKhmU0WUpw,@SsefYou-l5p6c,6,0,Casual Viewer
UCuliyPDti9ULwtYGoykCEkQ,@ff-zn1st,6,0,Casual Viewer
UC8wAfyHYbFQ0dUflAZkxs2w,@cryptoweb3_33,6,0,Casual Viewer
UCQiJMXO2YqODr5gxrPmScZA,@safwatebrahim1794,6,0,Casual Viewer
UCXKk-YoRI4iZTz1iAxecgGQ,@HoSimo-v3i7v,49,3,Casual Viewer
UCIJwpdBLVEmLJ-nmkIj2LUA,@yassinebenamer7009,7,3,Casual Viewer
UCUlzw-Sbw2cySsjuaEYn0Lw,@RadwanMuhammed-y1l,7,0,Casual Viewer
UC-DUj6W_PxdeoYzIf3Af6Lg,@ahmedmamdouh2798,7,0,Casual Viewer
UC8BOGgWSj9MwXkv6UTig8mQ,@zakariyausk3596,10,0,Casual Viewer
UCM74CLbH4rfE6BXRoNxn6JQ,@omaralfawaz2826,10,0,Casual Viewer
UCGAqZhyaXSKviSDc5itMnyw,@Mahmoud-El_Araby,10,3,Casual Viewer
UCWj4P34jzRj26WO7OZiGEyg,@اقرأوتعلم-ق6ع,10,3,Casual Viewer
UCjoStyYr6YkFa4iJ-XFDd3g,@ahmedelsayedewaida5596,11,0,Casual Viewer
UCGWj9L3JTKQYj7yKQZ8G1ZA,@ahmedelashek,11,0,Casual Viewer
UCwatG38FoiOwCFpMPNP-1ZA,@mhmd_2-d3n,11,3,Casual Viewer
UCdAQ-DASSy0disbzR_bFKoA,@Video-yw6uj,12,0,Casual Viewer
UC5Mp66VsZq3yqglrN8u4B9g,@خالدالخلفالعلي,12,0,Casual Viewer
UCOC-qiKvorZ5uAdnallQijQ,@ahmadata5330,12,0,Casual Viewer
UCX_-Tkncm3ETi4RcR_6uieQ,@sherifsobhyelshamy6587,12,0,Casual Viewer
UCGI199V2RBt7xppk9mZWeog,@mohamed3mrity739,12,0,Casual Viewer
UC67kWTAKj0ZDSQ13N7OPuEQ,@AbdelrahmanMohamed-ig8pm,12,0,Casual Viewer
UCDiS28HoLgNMGSpijzN568A,@محمدأحمد-ه5ح5م,14,0,Casual Viewer
UCf9icrK9zKolJcmzXV-CcGg,@ESSAID-g9m,14,0,Casual Viewer
UC4AagwQLp_BQyQRaGlGMJZw,@tamerali6112,14,0,Casual Viewer
UC_j2cfSlOhGlsSL5CId24Gg,@HAabdssadq,14,0,Casual Viewer
UCLPZO26XLVoiGn1lLNi8alQ,@dinamohamed4702,14,0,Casual Viewer
UC4EfNjlYgRvkSD35aSBF0wQ,@gehadmohamad375,14,0,Casual Viewer
UCZevbRcU4wEVP7-w63KtRJw,@mohamedabdelkarim9072,14,0,Casual Viewer
UC59Cbbanla-Uvyo_qFD3uwA,@AhmedMedo67118,18,3,Casual Viewer
UCh_fOD9-1vC6fFkCSZFiuhQ,@AhmedEwis-d7g,18,0,Casual Viewer
UCDXPLXpBdEgwllnN4DM3WJw,@MahmoudRashid-h3z,18,0,Casual Viewer
UCNcmfjqQrUu8veQ7Oan-GHQ,@saja54-o2o,18,0,Casual Viewer
UCvec42jZHqOe0O6HY988sYA,@LatifaAnejjar,49,3,Casual Viewer
UCW5llJO0Kcle5V6aZ3pObqA,@nonomohammed-y9n,19,0,Casual Viewer
UCYg3Vizx2Uf-rkOB8qqX26g,@حکيم-ل5م,19,0,Casual Viewer
UCVapnett-GKnNV7PrNvVUxw,@bassmastore,19,0,Casual Viewer
UC6O7iTasFVjLjVnqvjjTuiw,@salman24sa74,19,0,Casual Viewer
UCjclWVW1SMh_Q8O4Ah40Rsg,@knowledgeispower7318,19,0,Casual Viewer
UCTrf6vWgD92nnAmGJGmT5rA,@سيفالكوافي-ظ4ض,19,0,Casual Viewer
UC5q6-g7Ow8n0o66b7DlGNmw,@mahmoudtaha7044,47,3,Casual Viewer
UCQr8kSUgQ64yAmWs-0KQGtQ,@MbarekSameh-j7d,20,0,Casual Viewer
UCI4HbUr9HWMp7Y5lu4mXKvQ,@-islamelbeltagy7321,20,0,Casual Viewer
UCByZ2Htw5pf3FMoazfkXRyQ,@drisscheliq7610,20,3,Casual Viewer
UCEldY49OrpaTThpT0C4Z0OA,@najlaeabad3008,23,0,Casual Viewer
UChrJbgWl8nW_vCx1hUFa7vQ,@meryamajjarkou3328,23,0,Casual Viewer
UCyj-U2Da3F_fP1YpK-eUosg,@rozannaqawah8047,23,0,Casual Viewer
UCFxhFhmGko_7KtErIoruaTw,@RoseNaq,23,0,Casual Viewer
UCsix1T0TVwAZpyk17GdH94Q,@TamaraMobile-jp1nj,23,0,Casual Viewer
UC_mf-E4RTAl7CnGxG99tU2g,@Reymen_MC,24,0,Casual Viewer
UCX7XvnTzWJbT-ILWtmZxrEg,@mohamedderbala4214,24,0,Casual Viewer
UCvhgdBNRD88JZnUMp08Bo3A,@MRALItube55,24,0,Casual Viewer
UC4q0g6aWNQqCRhSM7a3rC1A,@Emad-f4q,24,0,Casual Viewer
UC3W8nGDXY8dJGbyLqKYlHJw,@ibrahimabdelaziz4436,24,0,Casual Viewer
UCFBNnuZLsnxJJk7dzROmi1Q,@sanjilufi,24,0,Casual Viewer
UCTAtHreAn1dMGzJ6mwzln9Q,@AflaStof,24,0,Casual Viewer
UCnmuV6Y1g9SZV_zUjqMG8VQ,@shabanhammad20,25,0,Casual Viewer
UC4hGaYuoLTpxH5XPTqLrZUg,@chamschomos,25,0,Casual Viewer
UC4jVS-fofTkhPulqA175VmA,@mustafakhalile83,25,0,Casual Viewer
UCkQVagdEoZYReqgEWtGp3_Q,@AbdellahElhamzaouy,25,0,Casual Viewer
UCli9d-HJhAhivwwYzQ7vfTA,@MahmoudFarouk-r8p,25,0,Casual Viewer
UC4BUS_ptRtBfyw3tImZnH8Q,@MoustafaMchich,25,0,Casual Viewer
UCZwGDYYqG4Yz4PWQMs5J6-w,@BesooBeso-s5f,25,0,Casual Viewer
UC1xA5PEJjnuKxVaPSnmYqGw,@AyoubLabidi-b5x2j,27,0,Casual Viewer
UCFcG0ol3AV0IhiSeFtOQH0w,@grindsetero44,27,2,Casual Viewer
UCNJPRtc1YT6vV0LCV5-3M6w,@santimatz,27,2,Casual Viewer
UCE6zBbtV4p2ohRZP6S0eJ8w,@mrcoolthehacker8256,27,3,Casual Viewer
